idx,sample_id,side,capture_fraction,cam_to_door_centre_m,gap_pixels,gap_luma_mean,gap_luma_p90,leaf_region_pixels,leaf_region_luma_mean,in_roi_list,vis6_gap_px,vis6_gap_n,vis6_gap_delta_p50,vis6_gap_beyond,vis6_gap_on,vis6_gap_near,vis6_quad_px,vis6_quad_n,vis6_quad_delta_p50,vis6_quad_beyond,vis6_quad_on,vis6_quad_near,vis6f_gap_px,vis6f_gap_n,vis6f_gap_delta_p50,vis6f_gap_beyond,vis6f_gap_on,vis6f_gap_near,vis6f_quad_px,vis6f_quad_n,vis6f_quad_delta_p50,vis6f_quad_beyond,vis6f_quad_on,vis6f_quad_near,lidar_los,vis6_leafpoly_vs_leafplane_px,vis6_leafpoly_vs_leafplane_n,vis6_leafpoly_vs_leafplane_delta_p50,vis6_leafpoly_vs_leafplane_beyond,vis6_leafpoly_vs_leafplane_on,vis6_leafpoly_vs_leafplane_near,vis6f_leafpoly_vs_leafplane_px,vis6f_leafpoly_vs_leafplane_n,vis6f_leafpoly_vs_leafplane_delta_p50,vis6f_leafpoly_vs_leafplane_beyond,vis6f_leafpoly_vs_leafplane_on,vis6f_leafpoly_vs_leafplane_near
128,img_18bab3dd6b4d34c67c53fdb6::yaw_minus_35,interior,0.3122,10.86,14211,117.5,165.7,0,nan,False,14211,6921,-3.951317954799338,48,21,6852,18437,8996,-3.952226327640596,64,41,8890,14211,6776,-3.9521689656763215,0,0,6776,18437,8784,-3.953278191669292,0,0,8784,occluded,,,,,,,,,,,,
129,img_3dd943e1fbc94dc8c092af49::yaw_minus_35,interior,0.3145,10.84,14631,118.5,151.0,0,nan,False,14631,7274,-3.8856265545438182,55,32,7187,18719,9294,-3.888801962017352,70,46,9177,14631,7111,-3.888081037462543,0,0,7111,18719,9085,-3.890837933311591,0,0,9085,occluded,,,,,,,,,,,,
130,img_af7bad065c75951e1c1e1c4f::yaw_minus_35,interior,0.3167,10.86,13965,117.8,148.3,0,nan,False,13965,7299,-3.8452605151726083,61,18,7220,18066,9447,-3.846252071767383,77,35,9329,13965,7134,-3.846361424367772,0,0,7134,18066,9216,-3.848221388722669,0,0,9216,occluded,,,,,,,,,,,,
131,img_46fb35a374a648bbf7d67b4a::yaw_minus_35,interior,0.319,10.92,13668,115.8,148.1,0,nan,False,13668,7619,-3.819945511528422,46,24,7549,17667,9860,-3.8196459465421517,65,51,9742,13668,7457,-3.820832635225784,0,0,7457,17667,9633,-3.8207181036034363,0,0,9633,occluded,,,,,,,,,,,,
132,img_e984e928226015a4b56c841d::yaw_minus_35,interior,0.3213,10.88,13628,118.2,149.3,0,nan,False,13628,8205,-3.7843135800875842,65,30,8110,17415,10474,-3.7862367372767336,98,62,10307,13628,8026,-3.786583502136109,0,0,8026,17415,10207,-3.7894352601151358,0,0,10207,occluded,,,,,,,,,,,,
133,img_eac8d6fea7b11f2aed473852::yaw_minus_35,interior,0.3235,10.81,14919,112.7,146.1,0,nan,False,14919,9267,-3.7642829458995397,121,33,9113,18829,11709,-3.7646865775296856,153,68,11480,14919,8986,-3.765535031839489,0,0,8986,18829,11332,-3.766212372573487,0,0,11332,occluded,,,,,,,,,,,,
134,img_f266fb814ed9e48ef6890df7::yaw_minus_35,interior,0.3258,10.66,21623,114.2,143.1,0,nan,False,21623,11730,-3.7468542926155806,251,77,11402,26343,14285,-3.746502910005187,297,142,13832,21623,11117,-3.7493371307163983,0,0,11117,26343,13519,-3.7496188795871728,0,0,13519,occluded,,,,,,,,,,,,
135,img_be5a270ff906e798953439de::yaw_plus_35,interior,0.3258,10.66,26174,97.0,131.0,0,nan,False,26174,12458,-3.738056859721252,280,84,12094,31420,14966,-3.7379057139885328,335,155,14463,26174,11785,-3.7405761522036105,0,0,11785,31420,14120,-3.7408929299810625,0,0,14120,occluded,,,,,,,,,,,,
136,img_c4432fd9be4c02760427f369::yaw_plus_35,interior,0.3281,10.36,18302,100.8,136.1,0,nan,False,18302,11272,-3.746221910630628,239,71,10962,22490,13852,-3.745499587756936,297,136,13403,18302,10642,-3.7492543444451414,0,0,10642,22490,13045,-3.749504814168997,0,0,13045,occluded,,,,,,,,,,,,
137,img_cc7973236912a72f232cc17b::yaw_plus_35,interior,0.3303,10.03,19681,105.9,139.7,0,nan,False,19681,11870,-3.7432776330614654,340,93,11437,24110,14557,-3.7421704968640235,414,166,13963,19681,11067,-3.752783236245069,0,0,11067,24110,13538,-3.753132224492962,0,0,13538,occluded,,,,,,,,,,,,
