idx,sample_id,side,capture_fraction,cam_to_door_centre_m,gap_pixels,gap_luma_mean,gap_luma_p90,leaf_region_pixels,leaf_region_luma_mean,in_roi_list
92,img_98bb570ecf462a8b29f1009a::yaw_minus_35,carport,0.2127,6.39,261,40.6,65.9,8986,66.1,False
93,img_5e80513ffc34b6196a43e365::yaw_minus_35,carport,0.2149,6.33,189,59.0,91.0,6833,73.8,False
94,img_4beafc8e6c2ff2943ec8c75d::yaw_minus_35,carport,0.2172,6.35,61,53.5,85.1,3539,78.2,False
95,img_1a62eea81648de2de47d1d27::yaw_minus_35,carport,0.2195,6.37,8,92.6,102.0,990,90.6,False
96,img_5b91b0038b79183f5c7235e8::yaw_minus_35,carport,0.2217,6.35,0,nan,nan,0,nan,False
97,img_d63e075dca6c1af17d7d7f52::yaw_minus_35,interior,0.224,6.39,0,nan,nan,0,nan,False
98,img_8025ffd18b089ef27d299a02::yaw_plus_35,interior,0.2285,6.5,2229,156.1,175.7,0,nan,False
99,img_729de0fdc89bc5da6f822671::yaw_plus_35,interior,0.2308,6.54,5077,123.5,176.0,0,nan,False
100,img_b66bfddd418c61e670dc3a5c::yaw_plus_35,interior,0.233,6.64,8312,157.9,177.2,0,nan,False
101,img_2528134f0c15a2a2a931c0df::yaw_plus_35,interior,0.2353,6.66,10642,166.6,180.9,0,nan,False
102,img_8cb5b725b7b6ad962fac04a5::yaw_plus_35,interior,0.2376,6.66,11740,158.6,175.5,0,nan,False
103,img_4fcd6a3db493c1c587d8b3a9::yaw_plus_35,interior,0.2398,6.7,14423,168.0,189.8,0,nan,False
104,img_d243f0bef95f3ab8666465b0::yaw_plus_35,interior,0.2421,6.68,15670,159.2,190.0,0,nan,False
105,img_ae76977466c8fa930454864c::yaw_plus_35,interior,0.2443,6.67,17413,165.5,194.0,0,nan,False
106,img_20a58f5ac4250200235962e2::yaw_plus_35,interior,0.2466,6.73,18366,136.1,165.2,0,nan,False
107,img_0c5af46cf601f1ba240045ea::yaw_plus_35,interior,0.2489,6.79,19802,154.6,193.7,0,nan,False
108,img_575f482e53a2e9d903317aeb::yaw_plus_35,interior,0.2511,6.8,22051,165.9,190.6,0,nan,False
109,img_19b325eb7f251301eb6db660::yaw_plus_35,interior,0.2534,6.86,25206,169.2,192.9,0,nan,False
110,img_1371e2f1b988b88eea55fbdc::yaw_plus_35,interior,0.2602,7.07,26987,172.1,193.1,0,nan,False
111,img_eeceff5515532096691986e5::yaw_plus_35,interior,0.2624,7.25,27039,178.0,197.2,0,nan,False
112,img_36179b59758015708cbc0529::yaw_plus_35,interior,0.267,7.39,30599,181.3,201.8,0,nan,False
113,img_5d36f96d95329bc275b1e854::yaw_plus_35,interior,0.2715,7.68,29815,200.8,226.2,0,nan,False
114,img_69419e5adbf182700c58bb12::yaw_minus_35,interior,0.276,7.7,25438,172.5,221.8,0,nan,False
115,img_2bd2f89c0ed9038a7ebb2598::yaw_minus_35,interior,0.2783,7.59,24035,162.7,219.8,0,nan,False
116,img_53f96406e0c9d22b6885bb47::yaw_minus_35,interior,0.2805,7.44,24405,144.9,202.1,0,nan,False
117,img_7d6f42b0bce05fe141244829::yaw_minus_35,interior,0.2828,7.6,25513,137.4,181.8,0,nan,False
118,img_a1f74d52ddf18a7b95f8fb82::yaw_minus_35,interior,0.2851,7.92,28893,131.7,148.1,0,nan,False
119,img_ef51ea18654a5079d4e233ba::yaw_plus_35,interior,0.2896,8.67,26960,131.8,160.9,0,nan,False
120,img_125efba8e64a1900654063c3::yaw_plus_35,interior,0.2919,9.11,20521,133.9,166.9,0,nan,False
121,img_c54fcbe99fb2556e3eee453b::yaw_plus_35,interior,0.2941,9.45,19613,132.8,182.9,0,nan,False
122,img_dee26d9c80b097e644b27948::yaw_minus_35,interior,0.2986,9.98,16948,124.6,176.7,0,nan,False
123,img_1a5eee9849f95e3f1ffef40d::yaw_minus_35,interior,0.3009,10.17,15542,120.6,171.4,0,nan,False
124,img_575d0f2b73c72c0a37d1fdaf::yaw_minus_35,interior,0.3032,10.36,15237,119.8,160.5,0,nan,False
125,img_44aa2004a4a7e90eb9ff462e::yaw_minus_35,interior,0.3054,10.54,13965,173.0,197.9,0,nan,False
126,img_78a3f1935a07eebf17609099::yaw_minus_35,interior,0.3077,10.63,13687,119.9,167.8,0,nan,False
127,img_c00a2dd81dbcbe2ba6d1a126::yaw_minus_35,interior,0.31,10.75,14054,117.8,167.4,0,nan,False
128,img_18bab3dd6b4d34c67c53fdb6::yaw_minus_35,interior,0.3122,10.86,14211,117.5,165.7,0,nan,False
129,img_3dd943e1fbc94dc8c092af49::yaw_minus_35,interior,0.3145,10.84,14631,118.5,151.0,0,nan,False
130,img_af7bad065c75951e1c1e1c4f::yaw_minus_35,interior,0.3167,10.86,13965,117.8,148.3,0,nan,False
131,img_46fb35a374a648bbf7d67b4a::yaw_minus_35,interior,0.319,10.92,13668,115.8,148.1,0,nan,False
132,img_e984e928226015a4b56c841d::yaw_minus_35,interior,0.3213,10.88,13628,118.2,149.3,0,nan,False
133,img_eac8d6fea7b11f2aed473852::yaw_minus_35,interior,0.3235,10.81,14919,112.7,146.1,0,nan,False
134,img_f266fb814ed9e48ef6890df7::yaw_minus_35,interior,0.3258,10.66,21623,114.2,143.1,0,nan,False
135,img_be5a270ff906e798953439de::yaw_plus_35,interior,0.3258,10.66,26174,97.0,131.0,0,nan,False
136,img_c4432fd9be4c02760427f369::yaw_plus_35,interior,0.3281,10.36,18302,100.8,136.1,0,nan,False
137,img_cc7973236912a72f232cc17b::yaw_plus_35,interior,0.3303,10.03,19681,105.9,139.7,0,nan,False
138,img_0e30201037f2d207322568eb::yaw_plus_35,interior,0.3326,9.69,21078,109.4,141.0,0,nan,False
139,img_3a21b7ae860b72ed8804abcc::yaw_plus_35,interior,0.3348,9.4,21923,110.0,142.1,0,nan,False
140,img_2a01d8380fb472ce1a05426b::yaw_plus_35,interior,0.3371,9.11,24207,109.2,141.7,0,nan,False
141,img_d14ce879e6a132a7c0aaf3ea::yaw_plus_35,interior,0.3394,8.77,25817,109.6,140.3,0,nan,False
142,img_e33c0f642afa1aec24e17c11::yaw_plus_35,interior,0.3416,8.43,27836,106.5,138.3,0,nan,False
143,img_02ea8d71b98fade9b737af1e::yaw_plus_35,interior,0.3439,8.05,33051,105.6,137.3,0,nan,False
144,img_9b81a0f6a1bf887a91ae2d98::yaw_plus_35,interior,0.3462,7.71,39302,108.5,136.7,0,nan,False
145,img_06fe18d7805639029a0909d7::yaw_minus_35,interior,0.3484,7.39,49433,84.0,114.8,0,nan,False
146,img_98f96242d8c202d61ed3e10a::yaw_plus_35,interior,0.3484,7.39,46942,109.3,139.9,0,nan,False
147,img_be3df20bb870c84751cfa689::yaw_plus_35,interior,0.3507,7.06,49194,111.0,140.4,0,nan,False
148,img_4de2b810d4947fd02c7d9da0::yaw_plus_35,interior,0.3529,6.81,50405,112.3,138.3,0,nan,False
149,img_b6beedc52cef4f2ac0a45e14::yaw_minus_35,interior,0.3552,6.58,45405,105.4,128.2,0,nan,False
150,img_b9f940b901e71cda50ef8ab3::yaw_minus_35,interior,0.3575,6.3,43790,109.1,130.1,0,nan,False
151,img_a82e5ed8936520040da5595f::yaw_minus_35,interior,0.3597,6.08,44965,114.7,139.1,0,nan,False
152,img_b709d4e3277d2f8c8b7f9745::yaw_minus_35,interior,0.362,5.86,44535,123.2,149.1,0,nan,False
153,img_61f4cc2148cac254e5f04ce6::yaw_minus_35,interior,0.3643,5.69,49316,123.3,144.8,0,nan,False
154,img_649f98a511547e2d01b94687::yaw_minus_35,interior,0.3665,5.55,53001,123.5,146.0,0,nan,False
155,img_431341ddc18bf7bbfc873256::yaw_minus_35,interior,0.3688,5.45,60884,130.1,152.9,0,nan,False
156,img_9ee9430204cbc4d2cbd30ed3::yaw_minus_35,interior,0.371,5.33,73454,131.9,156.8,0,nan,False
157,img_6edd04890eae67b7aad63fbe::yaw_minus_35,interior,0.3756,5.2,85790,127.8,151.8,0,nan,False
158,img_8445df47b782669dc1b90367::yaw_plus_35,interior,0.3824,4.95,84911,144.5,161.9,0,nan,False
159,img_a415e25dd2ef27ecc5a4e82a::yaw_plus_35,interior,0.3846,4.91,96246,151.2,172.2,525,161.3,False
160,img_02167f65b42e301e9acb4f89::yaw_plus_35,interior,0.3869,4.87,99914,155.7,212.9,612,94.1,True
161,img_de19e8fb18e453296b788e19::yaw_plus_35,interior,0.3937,5.12,70567,110.2,207.9,0,nan,False
162,img_f8b73b376042c741c55a06cd::yaw_plus_35,interior,0.3959,5.22,59099,110.9,212.5,0,nan,False
163,img_00ec71ecfd73b6eb59d8f832::yaw_plus_35,interior,0.3982,5.3,67791,113.5,229.0,0,nan,False
164,img_876fed3a87ac79c0d63a1017::yaw_plus_35,interior,0.4118,6.78,48805,88.0,170.9,0,nan,False
165,img_c0e1cf412031577bfe06ae4a::yaw_plus_35,interior,0.414,7.07,32621,88.5,179.1,0,nan,False
166,img_77098503d4402a0360da6d34::yaw_plus_35,interior,0.4163,7.32,29861,95.6,175.9,0,nan,False
167,img_31fb7f1b070f7fce4248960d::yaw_plus_35,interior,0.4186,7.56,35727,97.1,177.9,0,nan,False
168,img_4b5896706fe6c5ae2a2b3dee::yaw_minus_35,interior,0.4231,8.07,36335,96.5,189.7,0,nan,False
169,img_ffa390bbaefb6eec5a6f87fb::yaw_minus_35,interior,0.4253,8.27,33019,89.2,184.1,0,nan,False
170,img_296543e0b24fc5e6e262f386::yaw_minus_35,interior,0.4276,8.42,35418,76.8,180.3,0,nan,False
171,img_8123b95a19d4d38c968b46a6::yaw_minus_35,interior,0.4299,8.57,31047,74.7,174.4,0,nan,False
172,img_8f0e7759dc55f86773c50f2b::yaw_minus_35,interior,0.4321,8.72,27829,72.1,172.1,0,nan,False
173,img_28d49635350a139c44d259ec::yaw_minus_35,interior,0.4344,8.87,25313,74.3,173.1,0,nan,False
174,img_aedaf82ed3842144ec0c3951::yaw_minus_35,interior,0.4367,8.98,23708,77.8,176.2,0,nan,False
175,img_4e8573cfcd31389b1a28d8e3::yaw_minus_35,interior,0.4389,9.14,24477,141.1,183.2,0,nan,False
176,img_87edfad3f6901cbaccb73eb1::yaw_minus_35,interior,0.4412,9.31,26751,87.1,184.1,0,nan,False
177,img_f7140eacb75d560d184fb31f::yaw_minus_35,interior,0.4434,9.39,27377,96.2,173.9,0,nan,False
178,img_4af6cd6dac376ccdcc60db74::yaw_minus_35,interior,0.4457,9.36,27786,112.5,182.9,0,nan,False
179,img_ba2f05a90b6e766693a2bd0d::yaw_minus_35,interior,0.448,9.36,27164,113.6,176.2,0,nan,False
180,img_d1b98043d8de5060ebfdfffe::yaw_minus_35,interior,0.4502,9.34,25660,100.6,154.2,0,nan,False
181,img_6140eac6fa52c2bec7a4cf37::yaw_minus_35,interior,0.4525,9.26,25752,94.1,140.1,0,nan,False
182,img_4ce1f1404af327ce8e242a2e::yaw_minus_35,interior,0.4548,9.23,25993,99.7,143.8,0,nan,False
183,img_06c8139bc95f57cd809da4fb::yaw_minus_35,interior,0.457,9.27,23380,104.7,145.1,0,nan,False
184,img_9294bdfdfc421be19feca3a8::yaw_minus_35,interior,0.4593,9.26,22531,106.5,147.9,0,nan,False
185,img_e08b30473e1f1809ad33265e::yaw_minus_35,interior,0.4615,9.36,19221,111.9,148.8,0,nan,False
186,img_7075633227ed0e239cb80bdf::yaw_minus_35,interior,0.4638,9.48,17134,116.5,149.5,0,nan,False
187,img_0fcf49cd7f81361297e23ec7::yaw_minus_35,interior,0.4661,9.52,16953,87.9,142.4,922,107.4,False
188,img_dbdbf05b0a89d3325091981a::yaw_minus_35,interior,0.4683,9.61,14244,100.0,142.6,1487,110.8,False
189,img_190257395cb0336ab5d50631::yaw_minus_35,interior,0.4706,9.77,12344,93.9,129.1,1964,95.7,False
190,img_c8bbc2a08c7cc7dc37c199cd::yaw_minus_35,interior,0.4729,9.83,11056,105.7,158.4,2544,131.4,False
191,img_977b8a805006c0e5b74cbe6d::yaw_minus_35,interior,0.4751,9.89,9919,60.7,107.7,3251,63.0,False
