idx,sample_id,side,capture_fraction,cam_to_door_centre_m,gap_pixels,gap_luma_mean,gap_luma_p90,leaf_region_pixels,leaf_region_luma_mean,in_roi_list
243,img_1871157e950c16814045b7fb::yaw_minus_35,carport,0.6176,5.02,7381,52.8,84.1,0,nan,False
244,img_26e10d650ada982eed86237e::yaw_minus_35,carport,0.6199,4.9,12739,55.3,81.8,0,nan,True
245,img_c1d98062a4244b5006970c32::yaw_minus_35,carport,0.6222,4.89,13217,52.6,84.0,0,nan,True
246,img_b03cab9432767781d37d0c40::yaw_minus_35,carport,0.6244,5.0,9866,55.3,86.1,0,nan,False
247,img_fc66080d5ff5d4c012c31698::yaw_minus_35,carport,0.6267,5.24,8061,61.0,88.8,0,nan,False
248,img_58caed980ab70c4132efecfd::yaw_minus_35,carport,0.629,5.52,7686,75.1,106.1,0,nan,False
249,img_8c2af5819c98a4c49838403d::yaw_minus_35,carport,0.6312,5.72,9108,58.1,83.1,0,nan,False
250,img_9fc13fc6b2a89839552d140b::yaw_minus_35,carport,0.6335,5.89,9550,38.7,61.9,0,nan,False
251,img_f2e26c722981ec0176325e6b::yaw_minus_35,carport,0.6357,6.01,10851,38.1,58.4,0,nan,False
252,img_f4bf71d79eb426e24a089014::yaw_minus_35,carport,0.638,6.02,10756,41.0,57.0,0,nan,False
253,img_9b00be96662f65f6e44b8ae9::yaw_minus_35,carport,0.6403,5.85,9760,42.7,60.7,0,nan,False
254,img_99cab519f1ef124e4b6289fd::yaw_minus_35,carport,0.6425,5.56,9495,46.7,62.1,0,nan,False
255,img_e89062940cc4d3083aa9a723::yaw_minus_35,carport,0.6448,5.17,15034,32.0,51.2,0,nan,False
256,img_0cfe3b000d78b3cbe984aa45::yaw_minus_35,carport,0.6471,4.74,15131,41.2,65.6,0,nan,True
257,img_572c8b231f54c3e8ed7f76c5::yaw_minus_35,carport,0.6493,4.31,18656,51.9,81.3,0,nan,False
258,img_bc2bea11a1cb64d9ca5716c4::yaw_minus_35,carport,0.6516,3.88,34609,53.9,77.1,0,nan,False
259,img_a6e40bded3c9f2217bdca885::yaw_minus_35,interior,0.7421,2.07,496062,195.4,255.0,22524,164.8,False
260,img_d4b43c110801599d2031af14::yaw_minus_35,interior,0.7443,2.08,468042,199.5,255.0,18751,168.2,False
261,img_41472835d6d01c3b9eee86f3::yaw_minus_35,interior,0.7466,2.09,448515,199.9,255.0,17015,171.2,False
262,img_02c50c1e41ca50d8799dfef7::yaw_minus_35,interior,0.7489,2.11,448246,190.1,255.0,15792,164.9,False
263,img_809b1e32b82c29585751f38a::yaw_minus_35,interior,0.7511,2.12,436730,184.1,255.0,14902,170.4,False
264,img_25e709e621e208bb6d69963c::yaw_minus_35,interior,0.7534,2.14,410514,182.1,255.0,11949,170.7,False
265,img_ae847fd97d3627e78b825c01::yaw_minus_35,interior,0.7557,2.25,363062,182.3,254.4,7055,166.0,False
266,img_ae7fcdb96cefc23a2e9b1cb8::yaw_minus_35,interior,0.7919,2.51,261840,170.2,255.0,3247,177.7,False
267,img_db74abe8fe99e50cd417fb92::yaw_minus_35,interior,0.7941,2.64,255380,170.5,255.0,3713,167.8,False
268,img_bde382b774c98e42606ebea1::yaw_minus_35,interior,0.7964,2.71,230093,167.7,254.7,2662,198.6,False
269,img_c3ccda95371ed93a9732b302::yaw_minus_35,interior,0.7986,2.76,198804,162.3,253.2,756,184.1,False
270,img_dbcbd71faaeb6348cda02573::yaw_minus_35,interior,0.8009,2.84,166667,156.7,230.7,0,nan,False
271,img_c722df52e100f0a4d6d722c4::yaw_minus_35,interior,0.8032,2.83,171388,156.2,227.8,0,nan,False
272,img_441e03f73d0b76f84c505db3::yaw_minus_35,interior,0.8054,2.78,174754,166.0,237.6,0,nan,False
273,img_1a265d9e130f6059a7c5e9a6::yaw_minus_35,interior,0.8077,2.73,179361,170.4,245.5,0,nan,False
274,img_443900e4c8ed5b29fb38d36a::yaw_plus_35,interior,0.819,2.43,232977,174.8,252.3,467,196.6,False
275,img_39270baa183005e40c561a87::yaw_plus_35,interior,0.8213,2.38,211887,171.7,249.9,12,213.2,False
276,img_d733262793847c605e65099a::yaw_plus_35,interior,0.8235,2.34,214399,171.1,248.9,0,nan,False
277,img_d04d0ca787fbef2b28f090d4::yaw_plus_35,interior,0.8258,2.33,215034,168.3,237.4,15,204.7,False
278,img_fb8d4e5c370423a144a63ab7::yaw_plus_35,interior,0.8281,2.4,209402,160.6,232.4,60,209.3,False
279,img_736215cb0d2336e90c45f014::yaw_plus_35,interior,0.8371,2.42,193676,169.2,211.0,172,108.8,False
280,img_e077fcb4955280ec1710e251::yaw_plus_35,interior,0.8394,2.38,298368,165.0,209.9,2157,127.0,False
281,img_783c40ea973d77f89e68bd01::yaw_minus_35,interior,0.8416,2.3,282147,168.6,203.0,5133,143.8,False
282,img_8ef82436b387ffb945bf91a5::yaw_minus_35,interior,0.8439,2.23,282752,153.6,207.8,4110,199.3,False
283,img_ff7bb1d8e38e09e81058a33b::yaw_minus_35,interior,0.8462,2.14,367364,183.6,254.2,4606,204.6,False
284,img_4a55ba7140adf532c2944b6d::yaw_plus_35,interior,0.8665,1.45,824767,193.5,255.0,48358,172.4,False
285,img_362f09e7739015207616d3d1::yaw_plus_35,interior,0.9231,7.9,36015,67.2,172.8,0,nan,False
286,img_62bb470e8f17d63e54df8e2e::yaw_plus_35,interior,0.9253,8.34,25408,79.4,187.0,0,nan,False
287,img_c97b935806f8446352f5c059::yaw_plus_35,interior,0.9276,8.73,21107,88.5,193.0,0,nan,False
288,img_e76aadc0656e16023b5889f4::yaw_plus_35,interior,0.9299,9.15,22268,110.6,190.7,0,nan,False
289,img_fa65b3aa880c9101e305af46::yaw_minus_35,interior,0.9344,10.02,19335,119.2,190.5,0,nan,False
290,img_2fe71151d4c449e1d3233bb5::yaw_minus_35,interior,0.9367,10.52,14622,121.3,188.7,0,nan,False
291,img_13691d7391a8be50b061c1b3::yaw_minus_35,interior,0.9389,10.97,13284,116.3,182.2,0,nan,False
292,img_86575fe5a65f1c1856691512::yaw_minus_35,interior,0.9412,11.38,15407,104.7,166.3,0,nan,False
293,img_5ef19597a38170b745e3d0e8::yaw_minus_35,interior,0.9434,11.81,17595,79.3,149.3,0,nan,False
294,img_beb01b280b14e79f616ea854::yaw_plus_35,interior,0.9434,11.82,17611,95.1,176.7,0,nan,False
295,img_c945937fd972cd35ccc3f927::yaw_minus_35,interior,0.9457,12.14,15351,65.9,136.3,0,nan,False
296,img_a81fedc93cf86c096628e077::yaw_plus_35,interior,0.9457,12.14,17892,75.1,177.5,0,nan,False
297,img_49cecc6b7a7ebcfb56922fe8::yaw_plus_35,interior,0.948,12.48,14238,81.6,171.4,0,nan,False
298,img_dfbaef61d9e8160adafd7543::yaw_plus_35,interior,0.9502,12.76,12064,79.3,171.7,0,nan,False
299,img_75a30ee17616282a88941ad2::yaw_plus_35,interior,0.9525,13.03,12510,74.7,165.0,0,nan,False
300,img_a70b864456069a8a04299a32::yaw_plus_35,interior,0.9548,13.33,12992,75.3,159.8,0,nan,False
301,img_c1e12f0629dd3d406e51c28a::yaw_plus_35,interior,0.957,13.58,15024,82.3,159.7,0,nan,False
302,img_4d9c2a8e76e687e5179a2990::yaw_plus_35,interior,0.9593,13.68,15698,84.5,152.2,0,nan,False
303,img_738d35da53c08f4a598d2f51::yaw_plus_35,interior,0.9615,13.8,11298,91.7,156.5,0,nan,False
304,img_654224d56a5a5fc52b21d876::yaw_plus_35,interior,0.9638,13.94,8466,97.6,163.8,0,nan,False
305,img_103dec49eddc71b8b42bba6d::yaw_plus_35,interior,0.9661,13.96,7742,104.3,154.0,0,nan,False
306,img_f029e0f1f983d146f96286a0::yaw_plus_35,interior,0.9683,13.81,7950,103.4,148.8,0,nan,False
307,img_304b50c95ed848aecc410e2d::yaw_plus_35,interior,0.9706,13.56,9055,105.3,149.0,0,nan,False
308,img_1b406da0e87bb6871507e4a4::yaw_plus_35,interior,0.9729,13.36,11334,105.6,144.1,0,nan,False
309,img_bce41815c3435d5918fa786f::yaw_plus_35,interior,0.9751,13.21,13311,102.9,137.7,0,nan,False
310,img_72b0880469760869c633c6c8::yaw_plus_35,interior,0.9774,13.1,12085,103.0,137.8,0,nan,False
311,img_017105047612fa06bd54d2a9::yaw_plus_35,interior,0.9796,13.0,11446,103.1,138.1,0,nan,False
312,img_ace39114ea6e3dc2c06be34b::yaw_plus_35,interior,0.9819,12.74,10624,103.4,137.1,0,nan,False
313,img_85e78662bf093fa213534df1::yaw_minus_35,interior,0.9842,12.37,14775,74.4,91.7,0,nan,False
314,img_d9a7c8becf1e2afe7e043c05::yaw_plus_35,interior,0.9842,12.36,14797,102.7,136.7,0,nan,False
315,img_b49a7a00f760704e50863571::yaw_minus_35,interior,0.9864,12.22,15165,71.6,81.9,0,nan,False
316,img_8bdef04bbeeb5f84aab07251::yaw_plus_35,interior,0.9864,12.22,15004,97.4,125.2,0,nan,False
317,img_0270831497d17f59f1c3de3e::yaw_minus_35,interior,0.9887,12.19,14265,73.1,82.9,0,nan,False
318,img_f62c18a51fe6eeab821492db::yaw_plus_35,interior,0.9887,12.2,16397,97.1,123.7,0,nan,False
319,img_4d472e322a81763c2fd0b666::yaw_minus_35,interior,0.991,12.19,13311,76.6,87.9,0,nan,False
320,img_90c01a0a342d72f043a54865::yaw_minus_35,interior,0.9932,12.19,13309,79.8,91.3,0,nan,False
321,img_98fbe7ea8fe6d8ecf2b8b9d7::yaw_minus_35,interior,0.9955,12.19,13309,79.7,91.0,0,nan,False
322,img_cbaa2ed931cc075f3b1eb8f6::yaw_minus_35,interior,0.9977,12.19,13309,79.6,90.9,0,nan,False
323,img_1bc6af48816e6b6269928548::yaw_minus_35,interior,1.0,12.19,13309,79.6,91.0,0,nan,False
