cam_signed_dist_to_plane_m,cam_to_door_centre_m,camera_id,face_id,image_id,in_roi_list,quad_any_inside,quad_fully_inside,sample_id,vis6_delta_p05,vis6_delta_p50,vis6_delta_p95,vis6_n_behind,vis6_n_front,vis6_n_lidar_in_quad,vis6_n_on_leaf,vis6_quad_pixels,vis6_quad_pixels_in_dilated_support,vis6_range_p05,vis6_range_p50,vis6_range_p95,vis6_t_plane_p50,vis6f_delta_p05,vis6f_delta_p50,vis6f_delta_p95,vis6f_n_behind,vis6f_n_front,vis6f_n_lidar_in_quad,vis6f_n_on_leaf,vis6f_quad_pixels,vis6f_quad_pixels_in_dilated_support,vis6f_range_p05,vis6f_range_p50,vis6f_range_p95,vis6f_t_plane_p50
-1.662381891718249,1.7047145145761209,left,pitch_down_56,img_03d3b8c62d66fac93b032a26,False,False,False,img_03d3b8c62d66fac93b032a26::pitch_down_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.662381891718249,1.7047145145761209,left,pitch_up_56,img_03d3b8c62d66fac93b032a26,False,False,False,img_03d3b8c62d66fac93b032a26::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.662381891718249,1.7047145145761209,left,yaw_minus_35,img_03d3b8c62d66fac93b032a26,False,False,False,img_03d3b8c62d66fac93b032a26::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.662381891718249,1.7047145145761209,left,yaw_plus_35,img_03d3b8c62d66fac93b032a26,False,False,False,img_03d3b8c62d66fac93b032a26::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.004228019591,5.891509727598813,left,pitch_up_56,img_0466fd896d0aec73619005f8,False,False,False,img_0466fd896d0aec73619005f8::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.004228019591,5.891509727598813,left,yaw_plus_35,img_0466fd896d0aec73619005f8,False,False,False,img_0466fd896d0aec73619005f8::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
3.37595450664079,6.5687193311936,right,pitch_up_56,img_05cc6ae9bfec314d854c8837,False,False,False,img_05cc6ae9bfec314d854c8837::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
3.37595450664079,6.5687193311936,right,yaw_minus_35,img_05cc6ae9bfec314d854c8837,True,True,True,img_05cc6ae9bfec314d854c8837::yaw_minus_35,0.06966906761351499,0.49585725513275225,3.9440445780748914,12692,0,20131,1888,44300,44300,6.592331171035767,7.137319087982178,10.751807689666748,6.562388914205287,0.04770473206255084,0.33631898691136275,1.026398997998442,7900,0,15339,1888,44300,44300,6.5444395542144775,7.0577311515808105,7.340863418579101,6.614940764346386
-1.8306992055304367,1.8995571521386274,left,pitch_down_56,img_066ac1dbdc61cd379421eeef,False,False,False,img_066ac1dbdc61cd379421eeef::pitch_down_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.8306992055304367,1.8995571521386274,left,pitch_up_56,img_066ac1dbdc61cd379421eeef,False,False,False,img_066ac1dbdc61cd379421eeef::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.8306992055304367,1.8995571521386274,left,yaw_minus_35,img_066ac1dbdc61cd379421eeef,False,False,False,img_066ac1dbdc61cd379421eeef::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.8306992055304367,1.8995571521386274,left,yaw_plus_35,img_066ac1dbdc61cd379421eeef,False,False,False,img_066ac1dbdc61cd379421eeef::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.994776774224052,9.270470177173658,right,pitch_up_56,img_06c8139bc95f57cd809da4fb,False,False,False,img_06c8139bc95f57cd809da4fb::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.994776774224052,9.270470177173658,right,yaw_minus_35,img_06c8139bc95f57cd809da4fb,False,True,True,img_06c8139bc95f57cd809da4fb::yaw_minus_35,-5.7112587866416655,-4.657208611827868,-0.5205700464362042,327,12285,12912,260,28752,28752,3.5518677830696106,4.657973766326904,8.684368896484372,9.287854701880452,-6.164080006266674,-5.343789115040471,-4.591735255892884,0,5902,5902,0,28752,28752,3.1079731225967406,3.9435242414474487,4.68777265548706,9.296574650758558
-6.716874702064624,7.386624552243759,right,yaw_minus_35,img_06fe18d7805639029a0909d7,False,True,True,img_06fe18d7805639029a0909d7::yaw_minus_35,-4.0942822772971725,-3.192365955907161,3.1229360681454477,5073,19975,26935,1603,57649,57649,3.339923095703125,4.23028564453125,10.557022190093994,7.404599239375665,-4.11387696452943,-3.925316599393577,-3.2186632933057564,0,12365,12365,0,57649,57649,3.3200550079345703,3.466851234436035,4.202702426910401,7.4226341604051225
-9.030174269857431,10.064435785017574,right,yaw_minus_35,img_07354bc7c501761f73d5c2ad,False,True,True,img_07354bc7c501761f73d5c2ad::yaw_minus_35,-5.629876819678065,-4.013310506495969,12.809137255013447,889,10595,12400,426,20925,20925,4.560863089561463,6.099830389022827,22.95746402740471,10.068266214094232,-5.77753284651208,-4.958544471244688,-3.7360755491653963,0,4799,4799,0,20925,20347,4.46713490486145,5.061127185821533,6.359166765213012,10.10665086110028
-4.889502366478591,4.937828089042807,left,pitch_up_56,img_074273e7808b362c2a94f76a,False,False,False,img_074273e7808b362c2a94f76a::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.889502366478591,4.937828089042807,left,yaw_plus_35,img_074273e7808b362c2a94f76a,False,False,False,img_074273e7808b362c2a94f76a::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4070455530852186,6.468610419183956,right,pitch_up_56,img_07ad9afb8ee9b4439797e520,False,False,False,img_07ad9afb8ee9b4439797e520::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4070455530852186,6.468610419183956,right,yaw_minus_35,img_07ad9afb8ee9b4439797e520,False,True,False,img_07ad9afb8ee9b4439797e520::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4070455530852186,6.468610419183956,right,yaw_plus_35,img_07ad9afb8ee9b4439797e520,False,True,False,img_07ad9afb8ee9b4439797e520::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9015484038334753,7.523978282947147,right,pitch_up_56,img_0808a922b5bfb00ee7a01908,False,False,False,img_0808a922b5bfb00ee7a01908::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9015484038334753,7.523978282947147,right,yaw_minus_35,img_0808a922b5bfb00ee7a01908,False,True,True,img_0808a922b5bfb00ee7a01908::yaw_minus_35,-0.06449023290717011,0.46964928047223475,3.0208187893448946,4772,56,6702,1056,9797,9797,7.052156615257263,7.987483739852905,10.283982515335081,7.493786586549606,-0.06852880081215389,0.45103240573672565,0.9831840455135548,4109,56,6039,1056,9797,9797,7.027562046051026,7.965719223022461,8.696834468841553,7.51640536956875
1.9015484038334753,7.523978282947147,right,yaw_plus_35,img_0808a922b5bfb00ee7a01908,False,False,False,img_0808a922b5bfb00ee7a01908::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.542331928800772,10.922747366249473,left,pitch_up_56,img_0898f79cccd2c021fa397a68,False,False,False,img_0898f79cccd2c021fa397a68::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.542331928800772,10.922747366249473,left,yaw_plus_35,img_0898f79cccd2c021fa397a68,False,False,False,img_0898f79cccd2c021fa397a68::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.844274390093926,12.194468247544572,left,pitch_up_56,img_08be8925fb80bbea018fd25a,False,False,False,img_08be8925fb80bbea018fd25a::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.844274390093926,12.194468247544572,left,yaw_plus_35,img_08be8925fb80bbea018fd25a,False,True,False,img_08be8925fb80bbea018fd25a::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.7384908295938315,2.7481401159223555,left,pitch_down_56,img_09089484c86c6333a69d214c,False,False,False,img_09089484c86c6333a69d214c::pitch_down_56,,,,,,,,,,,,,,,,,,,,,,,,,,
