region,tile,point_index,n_views,luma_mean_raw,luma_cv_raw,luma_logstd_raw,luma_min_raw,luma_max_raw,rgb_std_mean_raw,range_median_m,n_views_learned,luma_cv_learned,luma_cv_raw_paired_learned,luma_logstd_learned,luma_logstd_raw_paired_learned,rgb_std_mean_learned,n_views_per_camera_mean,luma_cv_per_camera_mean,luma_cv_raw_paired_per_camera_mean,luma_logstd_per_camera_mean,luma_logstd_raw_paired_per_camera_mean,rgb_std_mean_per_camera_mean,n_views_per_camera_time_block_10s,luma_cv_per_camera_time_block_10s,luma_cv_raw_paired_per_camera_time_block_10s,luma_logstd_per_camera_time_block_10s,luma_logstd_raw_paired_per_camera_time_block_10s,rgb_std_mean_per_camera_time_block_10s,n_views_per_camera_time_block_20s,luma_cv_per_camera_time_block_20s,luma_cv_raw_paired_per_camera_time_block_20s,luma_logstd_per_camera_time_block_20s,luma_logstd_raw_paired_per_camera_time_block_20s,rgb_std_mean_per_camera_time_block_20s,n_views_per_camera_time_block_60s,luma_cv_per_camera_time_block_60s,luma_cv_raw_paired_per_camera_time_block_60s,luma_logstd_per_camera_time_block_60s,luma_logstd_raw_paired_per_camera_time_block_60s,rgb_std_mean_per_camera_time_block_60s,n_views_oracle_per_image,luma_cv_oracle_per_image,luma_cv_raw_paired_oracle_per_image,luma_logstd_oracle_per_image,luma_logstd_raw_paired_oracle_per_image,rgb_std_mean_oracle_per_image,n_views_oracle_per_image_tile_views,luma_cv_oracle_per_image_tile_views,luma_cv_raw_paired_oracle_per_image_tile_views,luma_logstd_oracle_per_image_tile_views,luma_logstd_raw_paired_oracle_per_image_tile_views,rgb_std_mean_oracle_per_image_tile_views
indoor_door_leaf_Tile_1,Tile_1,10,130,57.0696,0.551091,0.52003,18.299,169.779,32.0962,6.21964,130,0.431464,0.551091,0.439818,0.52003,25.513,130,0.553698,0.551091,0.523558,0.52003,36.3068,130,0.481173,0.551091,0.481414,0.52003,29.641,130,0.487926,0.551091,0.484101,0.52003,30.1671,130,0.560357,0.551091,0.511138,0.52003,36.9113,130,0.267374,0.551091,0.296918,0.52003,16.3595,130,0.267374,0.551091,0.296918,0.52003,16.3595
indoor_door_leaf_Tile_1,Tile_1,11,125,68.5591,0.501399,0.436686,14.527,204.026,34.7861,6.22292,125,0.357566,0.501399,0.36865,0.436686,25.6436,125,0.503928,0.501399,0.440677,0.436686,39.3591,125,0.426064,0.501399,0.40107,0.436686,31.3171,125,0.425584,0.501399,0.401395,0.436686,31.3753,125,0.519109,0.501399,0.432669,0.436686,40.7622,125,0.189774,0.501399,0.195873,0.436686,14.112,125,0.189774,0.501399,0.195873,0.436686,14.112
indoor_door_leaf_Tile_1,Tile_1,12,122,63.9861,0.47588,0.41244,14.826,203.613,31.1528,6.2842,122,0.365325,0.47588,0.371467,0.41244,25.3915,122,0.47847,0.47588,0.416336,0.41244,35.2541,122,0.413747,0.47588,0.388831,0.41244,29.061,122,0.408288,0.47588,0.385824,0.41244,28.7455,122,0.487658,0.47588,0.402554,0.41244,35.9757,122,0.197774,0.47588,0.20352,0.41244,14.4511,122,0.197774,0.47588,0.20352,0.41244,14.4511
indoor_door_leaf_Tile_1,Tile_1,13,68,103.276,0.444267,0.644311,14.114,188.918,45.1033,3.14829,68,0.395611,0.444267,0.578579,0.644311,37.9763,68,0.442091,0.444267,0.643169,0.644311,50.0703,68,0.391958,0.444267,0.556371,0.644311,38.4727,68,0.403558,0.444267,0.56423,0.644311,40.5775,68,0.43338,0.444267,0.618136,0.644311,47.0435,68,0.135269,0.444267,0.155896,0.644311,10.8934,68,0.135269,0.444267,0.155896,0.644311,10.8934
indoor_door_leaf_Tile_1,Tile_1,14,125,61.362,0.411016,0.432033,14.712,152.409,25.9619,6.29442,125,0.325365,0.411016,0.385443,0.432033,21.8092,125,0.41332,0.411016,0.436223,0.432033,29.3808,125,0.357537,0.411016,0.391916,0.432033,24.2045,125,0.368028,0.411016,0.399335,0.432033,25.019,125,0.423056,0.411016,0.43235,0.432033,30.156,125,0.177673,0.411016,0.196028,0.432033,12.5797,125,0.177673,0.411016,0.196028,0.432033,12.5797
indoor_door_leaf_Tile_1,Tile_1,15,70,108.819,0.472163,0.660309,14.712,255,50.9611,3.62959,70,0.442428,0.472163,0.623984,0.660309,45.0544,70,0.467235,0.472163,0.657027,0.660309,56.0548,70,0.425236,0.472163,0.571146,0.660309,44.3433,70,0.469413,0.472163,0.599583,0.660309,51.5433,70,0.461634,0.472163,0.630516,0.660309,53.4395,70,0.152122,0.472163,0.150609,0.660309,12.447,70,0.152122,0.472163,0.150609,0.660309,12.447
indoor_door_leaf_Tile_1,Tile_1,16,131,58.4754,0.474399,0.46608,19.652,170.026,28.4848,6.49218,131,0.388217,0.474399,0.408873,0.46608,24.2902,131,0.477216,0.474399,0.470829,0.46608,32.2516,131,0.410129,0.474399,0.417668,0.46608,26.3322,131,0.419604,0.474399,0.42703,0.46608,27.033,131,0.487284,0.474399,0.466207,0.46608,33.1404,131,0.221128,0.474399,0.234097,0.46608,14.5859,131,0.221128,0.474399,0.234097,0.46608,14.5859
indoor_door_leaf_Tile_1,Tile_1,17,121,70.1829,0.480356,0.4532,13.826,199.151,34.2868,6.14778,121,0.346165,0.480356,0.386248,0.4532,25.7505,121,0.482484,0.480356,0.458375,0.4532,38.7834,121,0.411827,0.480356,0.40295,0.4532,31.0982,121,0.407579,0.480356,0.401407,0.4532,30.9001,121,0.502993,0.480356,0.448042,0.4532,40.5519,121,0.21354,0.480356,0.217403,0.4532,15.8407,121,0.21354,0.480356,0.217403,0.4532,15.8407
indoor_door_leaf_Tile_1,Tile_1,18,127,63.655,0.418407,0.424396,15.712,168.2,27.387,6.29225,127,0.333756,0.418407,0.381532,0.424396,23.1317,127,0.420947,0.418407,0.428818,0.424396,31.0128,127,0.361276,0.418407,0.384514,0.424396,25.3153,127,0.367041,0.418407,0.388497,0.424396,25.8165,127,0.43235,0.418407,0.423498,0.424396,31.9281,127,0.175311,0.418407,0.191125,0.424396,12.7132,127,0.175311,0.418407,0.191125,0.424396,12.7132
indoor_door_leaf_Tile_1,Tile_1,19,44,126.323,0.343489,0.59514,14.228,192.155,45.258,2.91351,44,0.312662,0.343489,0.547524,0.59514,38.0319,44,0.342821,0.343489,0.594681,0.59514,50.283,44,0.325786,0.343489,0.5342,0.59514,40.2947,44,0.327517,0.343489,0.532837,0.59514,41.4606,44,0.323272,0.343489,0.554198,0.59514,44.2904,44,0.0668703,0.343489,0.0671167,0.59514,5.82953,44,0.0668703,0.343489,0.0671167,0.59514,5.82953
indoor_door_leaf_Tile_1,Tile_1,20,127,62.3457,0.47093,0.455644,14.712,172.745,30.006,6.30621,127,0.365964,0.47093,0.404044,0.455644,24.6545,127,0.473205,0.47093,0.459895,0.455644,33.9388,127,0.411463,0.47093,0.411966,0.455644,27.9848,127,0.412719,0.47093,0.41578,0.455644,28.1704,127,0.491918,0.47093,0.458491,0.455644,35.4439,127,0.201991,0.47093,0.214409,0.455644,13.9785,127,0.201991,0.47093,0.214409,0.455644,13.9785
indoor_door_leaf_Tile_1,Tile_1,21,59,95.4977,0.501556,0.671426,15.712,155.594,46.777,2.97713,59,0.480645,0.501556,0.636727,0.671426,44.056,59,0.497745,0.501556,0.669744,0.671426,51.8247,59,0.442972,0.501556,0.58041,0.671426,40.4256,59,0.452523,0.501556,0.58529,0.671426,41.6215,59,0.481015,0.501556,0.637798,0.671426,47.8135,59,0.199823,0.501556,0.210747,0.671426,14.8123,59,0.199823,0.501556,0.210747,0.671426,14.8123
indoor_door_leaf_Tile_1,Tile_1,22,126,57.6953,0.496596,0.479536,11.929,206.592,29.6094,6.12116,126,0.414502,0.496596,0.449037,0.479536,26.2865,126,0.498839,0.496596,0.482847,0.479536,33.4772,126,0.445353,0.496596,0.461056,0.479536,28.479,126,0.439297,0.496596,0.45511,0.479536,28.1879,126,0.509692,0.496596,0.471291,0.479536,34.185,126,0.284884,0.496596,0.328332,0.479536,18.5634,126,0.284884,0.496596,0.328332,0.479536,18.5634
