config,source,step,kind,grow,cull,reset,cull_opacity_threshold,threshold_phase
tile0_R1_range0_20k,repo,8600,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,8700,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,8800,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,8900,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,9000,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,9100,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,9200,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,9300,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,9400,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,9500,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,9600,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,9700,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,9800,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,9900,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,10000,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,10100,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,10200,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,10300,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,10400,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,10500,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,10600,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,10700,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,10800,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,10900,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,11000,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,11100,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,11200,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,11300,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,11400,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,11500,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,11600,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,11700,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,11800,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,11900,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,12000,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,12100,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,12200,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,12300,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,12400,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,12500,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,12600,refine,1,1,1,0.1,early
