region,tile,region_status,x,y,z,n_images_fisheye,n_images_face,n_views_loose_ok,n_effective_views,n_effective_views_le5m,n_strict_occluded,n_strict_supported,n_strict_behind,strict_frac_occluded,strict_support_frac,n_cameras,n_rig_frames,time_span_s,angle_span_deg,range_min_m,range_median_m,footprint_px_per_m_fisheye,footprint_px_per_m_face,n_occluded,n_depth_supported,n_lidar_behind,n_no_lidar,frac_occluded,depth_support_frac,rgb_valid_frac,sharpness_lapvar_median,sharpness_lapvar_best,sharpness_best_image,luma_mean_median,luma_min,luma_max,luma_cv_across_views,sharpness_lapvar_min
indoor_door_leaf_Tile_1,Tile_1,provisional,6.291,-2.259,1.998,609,447,158,128,33,314,129,0,0.708804,0.288591,2,118,155.01,173.07,0.724074,6.34266,142.569,190.184,284,159,0,4,0.641084,0.355705,0.98434,704.622,2820.94,img_98bb570ecf462a8b29f1009a,61.7008,17.4978,156.218,0.443191,133.393
indoor_door_leaf_Tile_1,Tile_1,provisional,6.113,-2.522,2.004,602,443,132,46,38,387,47,0,0.891705,0.106095,2,46,125.008,162.715,0.918975,2.84559,321.464,401.158,299,135,0,9,0.68894,0.30474,0.970655,679.357,1359.99,img_4e61dfa73359cbec43694b5d,114.398,18.0698,161.916,0.318814,24.9584
indoor_door_leaf_Tile_1,Tile_1,provisional,6.163,-2.25,2.002,608,443,158,125,32,316,125,0,0.716553,0.282167,2,114,155.01,172.779,0.730473,6.27922,142.612,191.719,283,158,0,2,0.641723,0.356659,0.988713,760.721,2965.54,img_98bb570ecf462a8b29f1009a,61.8301,17.8569,169.513,0.459822,91.3078
indoor_door_leaf_Tile_1,Tile_1,provisional,6.14,-2.249,2.003,607,442,158,124,32,316,125,0,0.716553,0.282805,2,114,155.01,172.758,0.729414,6.29002,142.421,191.781,282,159,0,1,0.639456,0.359729,0.988688,761.335,3023.56,img_98bb570ecf462a8b29f1009a,62.8619,19.1084,159.257,0.440978,89.0882
indoor_door_leaf_Tile_1,Tile_1,provisional,6.067,-2.246,2.006,606,441,155,117,31,318,117,1,0.731034,0.265306,2,107,155.01,172.767,0.748916,6.25196,143.607,191.842,281,154,1,5,0.645977,0.349206,0.988662,729.221,3088.47,img_98bb570ecf462a8b29f1009a,63.2375,17.0854,161.51,0.408821,259.177
indoor_door_leaf_Tile_1,Tile_1,provisional,6.089,-2.579,2.014,601,441,134,46,40,389,46,0,0.894253,0.104308,2,46,125.508,166.432,1.12188,2.77399,335.926,451.991,300,135,0,6,0.689655,0.306122,0.975057,771.9,1382.74,img_4e61dfa73359cbec43694b5d,117.201,21.8455,198.793,0.325838,6.06665
indoor_door_leaf_Tile_1,Tile_1,provisional,6.057,-2.247,2.012,606,440,158,116,29,317,116,3,0.732102,0.263636,2,106,156.01,172.723,0.961401,6.26644,143.077,191.848,278,155,3,4,0.642032,0.352273,0.990909,728.452,3067.64,img_5e80513ffc34b6196a43e365,63.1083,16.9233,170.055,0.388809,57.1059
indoor_door_leaf_Tile_1,Tile_1,provisional,6.079,-2.589,2.017,602,441,132,44,37,390,46,0,0.894495,0.104308,2,44,126.008,157.754,1.27349,2.81788,326.357,408.582,301,135,0,5,0.690367,0.306122,0.965986,841.635,1365.74,img_4e61dfa73359cbec43694b5d,114.915,20.8716,201.736,0.342754,5.83618
indoor_door_leaf_Tile_1,Tile_1,provisional,6.307,-2.468,2.043,602,444,137,56,36,384,57,0,0.870748,0.128378,2,56,174.011,176.045,0.900699,2.95082,286.562,362.367,303,138,0,3,0.687075,0.310811,0.986486,431.515,939.373,img_20db9aea57590d693ed1f417,121.514,15.6208,171.474,0.419332,4.13769
indoor_door_leaf_Tile_1,Tile_1,provisional,6.087,-2.571,2.047,601,442,129,44,37,387,45,0,0.895833,0.10181,2,44,125.508,160.382,1.00793,2.82608,325.417,407.156,302,130,0,10,0.699074,0.294118,0.963801,926.74,1344.41,img_4e61dfa73359cbec43694b5d,110.678,21.6689,210.622,0.370564,5.85605
indoor_door_leaf_Tile_1,Tile_1,provisional,6.139,-2.517,2.048,602,442,131,47,36,383,47,1,0.890698,0.106335,2,47,170.51,167.672,1.18737,2.959,293.818,361.853,299,131,1,11,0.695349,0.29638,0.966063,764.53,1365.47,img_4e61dfa73359cbec43694b5d,101.027,16.7842,146.668,0.341201,28.7751
indoor_door_leaf_Tile_1,Tile_1,provisional,6.259,-2.468,2.047,604,445,139,59,39,381,60,0,0.863946,0.134831,2,59,174.011,176.121,0.909168,2.96127,287.028,360.962,299,142,0,4,0.678005,0.319101,0.982022,459.054,946.219,img_46fb35a374a648bbf7d67b4a,108.925,17.3091,162.475,0.398043,24.5204
indoor_door_leaf_Tile_1,Tile_1,provisional,6.404,-2.283,2.046,603,444,156,128,31,315,128,0,0.711061,0.288288,2,118,155.01,172.493,0.769009,6.58141,139.73,186.711,287,156,0,1,0.647856,0.351351,0.993243,644.978,2809.49,img_f1799d46a7022022561e4cd1,62.1086,17.1951,159.407,0.431358,100.356
indoor_door_leaf_Tile_1,Tile_1,provisional,6.319,-2.47,2.059,601,443,135,56,37,383,57,0,0.870455,0.128668,2,56,174.511,175.36,0.911659,2.93298,287.571,363.603,304,136,0,3,0.690909,0.306998,0.986456,403.887,1147.56,img_2b03f8db151c2afacd17aa26,124.479,15.135,171.93,0.424025,4.28369
indoor_door_leaf_Tile_1,Tile_1,provisional,6.279,-2.473,2.065,605,444,139,59,39,379,59,0,0.865297,0.132883,2,59,174.011,175.338,0.921981,2.96776,285.629,356.489,299,139,0,6,0.682648,0.313063,0.984234,422.146,1632.04,img_df257f89026fc472276ed04c,112.911,16.2441,224.777,0.427011,10.5084
indoor_door_leaf_Tile_1,Tile_1,provisional,6.11,-2.279,2.061,604,441,157,111,25,326,111,2,0.745995,0.251701,2,101,156.01,171.987,0.793367,6.49387,140.076,190.647,282,156,1,2,0.643836,0.353741,0.99093,681.628,2160.54,img_39bde7ed1336ec78411af4c0,62.4529,17.1914,161.357,0.37324,185.381
indoor_door_leaf_Tile_1,Tile_1,provisional,6.034,-2.3,2.065,603,440,156,75,6,362,75,0,0.828375,0.170455,2,68,156.01,172.181,0.812748,6.67915,131.8,187.548,280,157,0,3,0.640732,0.356818,0.988636,724.153,1495.83,img_2e52f81e7ee67150f3fdea5c,59.3828,16.8542,161.989,0.416057,287.72
indoor_door_leaf_Tile_1,Tile_1,provisional,6.036,-2.276,2.069,604,438,160,112,27,324,112,0,0.743119,0.255708,2,102,156.01,172.079,0.810522,6.22984,143.821,193.089,276,160,0,2,0.633028,0.365297,0.990868,668.196,1774.8,img_4767ec0db6e2111433779ace,62.7771,16.8542,157.215,0.388654,226.43
indoor_door_leaf_Tile_1,Tile_1,provisional,6.238,-2.252,2.073,610,443,160,127,34,314,127,0,0.712018,0.286682,2,116,155.51,171.962,0.797888,6.30804,143.632,192.579,281,160,0,2,0.637188,0.361174,0.990971,760.522,2900.42,img_98bb570ecf462a8b29f1009a,63.0916,14.9905,214.736,0.520012,88.2654
indoor_door_leaf_Tile_1,Tile_1,provisional,6.211,-2.254,2.078,609,442,163,126,32,313,126,1,0.712984,0.285068,2,115,155.01,171.839,0.84945,6.30227,143.562,192.741,277,162,1,2,0.630979,0.366516,0.99095,740.175,2949.08,img_98bb570ecf462a8b29f1009a,63.3884,15.9363,211.882,0.474872,150.565
indoor_door_leaf_Tile_1,Tile_1,provisional,6.319,-2.467,2.084,601,443,140,61,41,377,62,0,0.85877,0.139955,2,61,175.011,174.663,0.955425,2.95089,287.396,361.436,298,141,0,4,0.678815,0.318284,0.984199,448.194,1472.13,img_af58ddf11594de171687a482,121.498,14.9243,169.057,0.408475,4.33374
indoor_door_leaf_Tile_1,Tile_1,provisional,6.01,-2.318,2.083,602,439,156,58,4,377,58,0,0.866667,0.132118,2,52,141.509,172.003,1.01922,7.78831,123.194,189.173,278,157,0,4,0.63908,0.357631,0.981777,721.837,1446.9,img_5550c6ee126a8a927e97dac2,56.6975,19.041,155.101,0.408168,139.437
indoor_door_leaf_Tile_1,Tile_1,provisional,6.009,-2.268,2.083,604,438,159,115,30,319,115,0,0.735023,0.262557,2,105,156.01,171.926,0.813315,6.14949,146.537,194.035,275,159,0,4,0.633641,0.363014,0.986301,671.804,1805.91,img_4767ec0db6e2111433779ace,63.3682,17.5715,160.602,0.397217,193.178
indoor_door_leaf_Tile_1,Tile_1,provisional,6.064,-2.533,2.092,601,441,129,45,39,387,45,0,0.895833,0.102041,2,45,125.508,157.187,0.986556,2.77642,336.859,463.471,301,131,0,9,0.696759,0.297052,0.968254,890.68,1354.53,img_a7702c940d1875989ae07bb5,102.1,21.2268,195.11,0.368946,5.88792
indoor_door_leaf_Tile_1,Tile_1,provisional,6.271,-2.472,2.092,604,444,140,62,39,376,62,0,0.858447,0.13964,2,62,175.011,174.081,0.940358,2.9726,285.459,355.3,298,140,0,6,0.680365,0.315315,0.981982,466.212,1268.07,img_443900e4c8ed5b29fb38d36a,109.374,16.1282,166.55,0.392983,19.3132
