image_id,camera,tile,environment,timestamp_ns,time_s,log_gain,log_gain_raw,saturated_clamp,tile_offset,curve_log_gain,fitted_log_gain,residual,huber_weight
img_0a619ec4779c27a97495a4d5,left,Tile_0,outdoor,1772726503350252800,123.007565824,-0.0924188,-0.0924188,0,-0.1144026145244325,0.07026831511467786,-0.044134299409754635,-0.04828450059024536,1.0
img_0b5c7e5b6ece9c8468b97f45,right,Tile_0,indoor,1772726545852794880,165.510107904,-0.108284,-0.108284,0,-0.1144026145244325,-0.204159267750882,-0.3185618822753145,0.21027788227531446,0.7133417855312366
img_0baaa27b93015822440b687d,right,Tile_0,indoor,1772726543352647936,163.00996096,-0.00203888,-0.00203888,0,-0.1144026145244325,-0.14902710847197942,-0.26342972299641193,0.2613908429964119,0.5738533082509667
img_0bd606416eabd8fdcf14e062,left,Tile_0,indoor,1772726470348254976,90.005568,-0.16051,-0.16051,0,-0.1144026145244325,-0.12445459434577588,-0.2388572088702084,0.07834720887020838,1.0
img_0bdb034725fc3184e49fe35e,left,Tile_0,outdoor,1772726496349854976,116.007168,-0.118867,-0.118867,0,-0.1144026145244325,0.062219642554801155,-0.05218297196963134,-0.06668402803036864,1.0
img_0c5af46cf601f1ba240045ea,right,Tile_0,outdoor,1772726435346088960,55.003401984,-0.0730088,-0.0730088,0,-0.1144026145244325,0.09085386849881841,-0.02354874602561409,-0.0494600539743859,1.0
img_0c6b408f60b2b130e10c33e8,left,Tile_0,covered,1772726481848939008,101.506252032,-0.0829701,-0.0829701,0,-0.1144026145244325,0.04989429944578267,-0.06450831507864982,-0.018461784921350186,1.0
img_0ccbf3f46b4b4f4b127c2af2,right,Tile_0,covered,1772726506850443776,126.5077568,-0.466383,-0.466383,0,-0.1144026145244325,-0.09301555724996576,-0.20741817177439825,-0.25896482822560174,0.5792292375292172
img_0cfe3b000d78b3cbe984aa45,right,Tile_0,outdoor,1772726523351441920,143.008754944,-0.341172,-0.341172,0,-0.1144026145244325,0.09263396533226585,-0.021768649192166645,-0.31940335080783333,0.46962563047826755
img_0d0e8da31b5f41cd32b8700d,left,Tile_0,covered,1772726492349612032,112.006925056,-0.0424556,-0.0424556,0,-0.1144026145244325,0.07188371867895911,-0.04251889584547339,6.329584547337674e-05,1.0
img_0e30201037f2d207322568eb,left,Tile_0,outdoor,1772726453847245824,73.504558848,-0.153019,-0.153019,0,-0.1144026145244325,-0.0971335440228316,-0.2115361585472641,0.05851715854726411,1.0
img_0ea21c0b2a26ae88b3f41c1b,left,Tile_0,indoor,1772726550353076992,170.010390016,0.0396823,0.0396823,0,-0.1144026145244325,0.23606208586159355,0.12165947133716105,-0.08197717133716106,1.0
img_0f09b1c8a16caf36b2272fd5,right,Tile_0,covered,1772726489349372928,109.006685952,-0.37393,-0.37393,0,-0.1144026145244325,-0.23807022654770735,-0.35247284107213983,-0.021457158927860154,1.0
img_0fcf49cd7f81361297e23ec7,right,Tile_0,covered,1772726483349016064,103.006329088,-0.113718,-0.113718,0,-0.1144026145244325,-0.07038741833970566,-0.18479003286413814,0.07107203286413814,1.0
img_0fd1829e4d452fc9e06670fe,right,Tile_0,outdoor,1772726422845303040,42.502616064,-0.318341,-0.318341,0,-0.1144026145244325,0.05352222936707868,-0.06088038515735382,-0.25746061484264615,0.5826133837661984
img_0ff5a27bcf3781c5964f8ee6,left,Tile_0,covered,1772726486349241856,106.00655488,-0.0110815,-0.0110815,0,-0.1144026145244325,0.06411401149066023,-0.050288603033772264,0.03920710303377226,1.0
img_103dec49eddc71b8b42bba6d,left,Tile_0,outdoor,1772726593855660800,213.512973824,-0.11071,-0.11071,0,-0.1144026145244325,0.035094508097989995,-0.07930810642644251,-0.03140189357355749,1.0
img_10530dbf7d673c59270af5e2,right,Tile_0,outdoor,1772726393343502080,13.000815104,-0.0784501,-0.0784501,0,-0.1144026145244325,0.013046557606686198,-0.1013560569177463,0.0229059569177463,1.0
img_10c63029b85d03efbb6fd32d,left,Tile_0,indoor,1772726571854343936,191.51165696,-0.344364,-0.344364,0,-0.1144026145244325,0.017685579294450852,-0.09671703522998165,-0.24764696477001835,0.6057009426273409
img_110381b7bba614dd62d9fdec,left,Tile_0,outdoor,1772726479848819968,99.506132992,-0.241316,-0.241316,0,-0.1144026145244325,0.03675482508724319,-0.07764778943718931,-0.1636682105628107,0.9164882996165876
img_11466a5a9c6d1f4586f1c7d2,left,Tile_0,indoor,1772726570854331136,190.51164416,-0.123558,-0.123558,0,-0.1144026145244325,0.02461437922295396,-0.08978823530147853,-0.03376976469852147,1.0
img_114e1796fe707593c85a2478,left,Tile_0,indoor,1772726466848033024,86.505346048,-0.114256,-0.114256,0,-0.1144026145244325,-0.11956726188255812,-0.23396987640699063,0.11971387640699063,1.0
img_1155e179ac216f5cb603d167,left,Tile_0,outdoor,1772726427845598976,47.502912,-0.24587,-0.24587,0,-0.1144026145244325,-0.17261300716912942,-0.28701562169356193,0.04114562169356192,1.0
img_125efba8e64a1900654063c3,right,Tile_0,outdoor,1772726444846667008,64.503980032,-0.0292968,-0.0292968,0,-0.1144026145244325,0.07952206404332153,-0.03488055048111097,0.0055837504811109655,1.0
img_12a22b7454c54ed6dd944f06,left,Tile_0,outdoor,1772726478348732928,98.006045952,-0.0879846,-0.0879846,0,-0.1144026145244325,0.011300743038330268,-0.10310187148610223,0.015117271486102243,1.0
img_13691d7391a8be50b061c1b3,right,Tile_0,outdoor,1772726587855288064,207.512601088,-0.112582,-0.112582,0,-0.1144026145244325,-0.0522386284401585,-0.16664124296459099,0.054059242964590984,1.0
img_1371e2f1b988b88eea55fbdc,right,Tile_0,outdoor,1772726437846272000,57.503585024,0.0491639,0.0491639,0,-0.1144026145244325,0.09127285506430541,-0.02312975946012709,0.07229365946012709,1.0
img_1447a95d9944f177d0c884ab,right,Tile_0,indoor,1772726555353361920,175.010674944,-0.230604,-0.230604,0,-0.1144026145244325,-0.113428666331811,-0.2278312808562435,-0.0027727191437564858,1.0
img_15207674b99f1db132d932c6,left,Tile_0,outdoor,1772726513850887936,133.50820096,0.1194,0.1194,0,-0.1144026145244325,0.08618481269428907,-0.028217801830143427,0.14761780183014345,1.0
img_1577cf4d82720ebc65a2d403,right,Tile_0,outdoor,1772726496349851904,116.007164928,-0.381145,-0.381145,0,-0.1144026145244325,-0.2007145908546718,-0.3151172053791043,-0.0660277946208957,1.0
img_15fb76ef6ac109612bfa8138,right,Tile_0,outdoor,1772726493349649920,113.006962944,-0.267618,-0.267618,0,-0.1144026145244325,-0.23323508145766292,-0.34763769598209543,0.0800196959820954,1.0
img_1618118629bef1789633f0dd,right,Tile_0,outdoor,1772726411844603136,31.50191616,-0.417284,-0.417284,0,-0.1144026145244325,-0.03204105434016623,-0.14644366886459873,-0.2708403311354013,0.5538318439177009
img_1625062b5dbc6697b950a64d,right,Tile_0,indoor,1772726549353006848,169.010319872,-0.27072,-0.27072,0,-0.1144026145244325,-0.2813444284842571,-0.3957470430086896,0.1250270430086896,1.0
img_17448ab8d9da2c0b067a56a8,left,Tile_0,outdoor,1772726499350018048,119.007331072,-0.144331,-0.144331,0,-0.1144026145244325,0.05497163169181497,-0.059430982832617524,-0.08490001716738246,1.0
img_18576273c5c20fc7e1f342c8,left,Tile_0,covered,1772726460847641856,80.50495488,-0.168277,-0.168277,0,-0.1144026145244325,-0.11101338950012778,-0.22541600402456027,0.057139004024560264,1.0
img_1871157e950c16814045b7fb,right,Tile_0,outdoor,1772726516851055872,136.508368896,0.00569768,0.00569768,0,-0.1144026145244325,-0.0001235768412002139,-0.11452619136563272,0.12022387136563271,1.0
img_18bab3dd6b4d34c67c53fdb6,right,Tile_0,outdoor,1772726449346952960,69.004265984,-0.0068432,-0.0068432,0,-0.1144026145244325,0.06736289882344973,-0.04703971570098277,0.04019651570098277,1.0
img_190257395cb0336ab5d50631,right,Tile_0,covered,1772726484349078016,104.00639104,-0.128613,-0.128613,0,-0.1144026145244325,-0.09833462219676851,-0.212737236721201,0.084124236721201,1.0
img_19b325eb7f251301eb6db660,right,Tile_0,outdoor,1772726436346120960,56.003433984,0.0172801,0.0172801,0,-0.1144026145244325,0.0910214562179388,-0.02338115830649369,0.0406612583064937,1.0
img_19e8211ae6c6bb6328e3ac0c,left,Tile_0,covered,1772726506350424064,126.007737088,-0.0464994,-0.0464994,0,-0.1144026145244325,0.08791965442548429,-0.02648296009894821,-0.020016439901051793,1.0
img_19f9a29e0653442b28934a1d,left,Tile_0,outdoor,1772726585855233024,205.512546048,-0.323464,-0.323464,0,-0.1144026145244325,-0.013178624106677809,-0.12758123863111032,-0.19588276136888966,0.7657641690966236
img_1a38b2127348ddbd3e540b2f,right,Tile_0,outdoor,1772726416844912896,36.50222592,-0.0624092,-0.0624092,0,-0.1144026145244325,0.011137188786011876,-0.10326542573842062,0.040856225738420626,1.0
img_1a415e4ff347474b2fe0e6fd,right,Tile_0,outdoor,1772726389843281920,9.500594944,-0.0682431,-0.0682431,0,-0.1144026145244325,0.02869887552769007,-0.08570373899674243,0.01746063899674241,1.0
img_1a5eee9849f95e3f1ffef40d,right,Tile_0,outdoor,1772726446846832896,66.50414592,-0.0671326,-0.0671326,0,-0.1144026145244325,0.07411788578470772,-0.04028472873972477,-0.02684787126027522,1.0
img_1a62eea81648de2de47d1d27,right,Tile_0,outdoor,1772726428845664000,48.502977024,-0.0168802,-0.0168802,0,-0.1144026145244325,0.08272869896502998,-0.03167391555940252,0.01479371555940252,1.0
img_1a7c8c71cb3bf1efb9603846,left,Tile_0,indoor,1772726540352512000,160.009825024,0.0196697,0.0196697,0,-0.1144026145244325,-0.014486372612219729,-0.12888898713665223,0.1485586871366522,1.0
img_1aa7b18f3768436540234cc0,left,Tile_0,indoor,1772726535852226048,155.509539072,-0.693147,-0.700404,1,-0.1144026145244325,-0.01881623497893787,-0.13321884950337037,-0.5599281504966296,0.26789151405757533
img_1b406da0e87bb6871507e4a4,left,Tile_0,outdoor,1772726595355776000,215.013089024,-0.162652,-0.162652,0,-0.1144026145244325,0.045992676998702624,-0.06840993752572988,-0.09424206247427012,1.0
img_1bc6af48816e6b6269928548,right,Tile_0,stationary_unresolved,1772726601356096000,221.013409024,-0.324352,-0.324352,0,-0.1144026145244325,-0.19327544263995053,-0.307678057164383,-0.01667394283561696,1.0
img_1bdd12683633f0e9db0e63a8,left,Tile_0,outdoor,1772726504850355968,124.507668992,0.0530663,0.0530663,0,-0.1144026145244325,0.07909408794215331,-0.03530852658227919,0.08837482658227919,1.0
img_1c8b089945f81db8f6c8dded,left,Tile_0,outdoor,1772726513350861056,133.00817408,-0.0342239,-0.0342239,0,-0.1144026145244325,0.08977988220059736,-0.024622732323835134,-0.009601167676164868,1.0
img_1dbea71c3cf92e7aa3fc5df4,left,Tile_0,indoor,1772726549353015808,169.010328832,-0.269305,-0.269305,0,-0.1144026145244325,0.21122814854645353,0.09682553402202103,-0.366130534022021,0.4096899495166885
img_1de04bfc85f49dfaa0d0a760,left,Tile_0,indoor,1772726568354146048,188.011459072,0.182551,0.182551,0,-0.1144026145244325,0.07236502688270949,-0.04203758764172301,0.22458858764172301,0.6678878992697922
img_1ebc50fda2a6ee2870ef2919,left,Tile_0,outdoor,1772726431845929984,51.503243008,-0.223573,-0.223573,0,-0.1144026145244325,-0.1807700161801823,-0.2951726307046148,0.07159963070461475,1.0
img_1f5dcabe54d22d5e520d4af1,right,Tile_0,indoor,1772726538352439808,158.009752832,-0.213139,-0.213139,0,-0.1144026145244325,-0.019339723093659514,-0.133742337618092,-0.07939666238190798,1.0
img_1f7cf648acdfeca84393921f,right,Tile_0,stationary_unresolved,1772726380842701056,0.50001408,-0.0450748,-0.0450748,0,-0.1144026145244325,0.10093519434898925,-0.013467420175443251,-0.03160737982455675,1.0
img_1fb3a72aca781ca07d397457,right,Tile_0,outdoor,1772726422345296896,42.00260992,-0.395656,-0.395656,0,-0.1144026145244325,0.051088473407916335,-0.06331414111651616,-0.33234185888348383,0.45134248362192825
img_204ab088850d639090e9ac4e,left,Tile_0,covered,1772726509350616064,129.007929088,-0.0672192,-0.0672192,0,-0.1144026145244325,0.1055711157353833,-0.008831498789049194,-0.05838770121095081,1.0
img_20a58f5ac4250200235962e2,right,Tile_0,outdoor,1772726434846021888,54.503334912,0.0278098,0.0278098,0,-0.1144026145244325,0.0907700660804921,-0.0236325484439404,0.0514423484439404,1.0
