source_image_id,camera_id,source_path,face_name,derived_group,derived_image_id,derived_path,center_error_m,width,height,focal_px,principal_x,principal_y,face_to_source_00,face_to_source_01,face_to_source_02,face_to_source_10,face_to_source_11,face_to_source_12,face_to_source_20,face_to_source_21,face_to_source_22
30,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971730392763136.jpg,yaw_neg_35,0,2,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/2.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889916,1.0126749294066266e-16,-0.5735764363510457,4.1574862618463356e-17,0.9999999999999999,-1.0445250370815161e-16,0.573576436351046,-4.838197459283758e-18,0.8191520442889918
117,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971773895457024.jpg,yaw_neg_35,0,3,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/3.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,8.366251606791395e-17,-0.5735764363510458,-2.2969815790456194e-17,0.9999999999999998,-6.196221755963818e-17,0.5735764363510458,-4.899184649868402e-17,0.8191520442889915
146,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971788396321024.jpg,yaw_neg_35,0,4,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/4.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889916,9.121451817861758e-17,-0.5735764363510459,1.4752102679748169e-16,0.9999999999999997,-5.113084639196966e-18,0.5735764363510459,7.64715310398682e-17,0.8191520442889916
88,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971759394525952.jpg,yaw_neg_35,0,5,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/5.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889919,-1.750624656178933e-16,-0.5735764363510462,-1.698288940571737e-16,1.0,7.797384537223295e-17,0.5735764363510462,2.921951222529276e-17,0.8191520442889918
59,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971744893625088.jpg,yaw_neg_35,0,8,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/8.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889918,2.898212137949515e-17,-0.5735764363510459,-6.506207889325237e-17,1.0000000000000002,-2.0353515100839797e-16,0.573576436351046,-1.9286603334204385e-16,0.8191520442889919
1,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971715891788032.jpg,yaw_neg_35,0,12,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/12.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,4.2503874747594646e-17,-0.5735764363510459,3.2802449446874505e-17,1.0,-2.3298733062580673e-17,0.5735764363510459,3.70441977378599e-18,0.8191520442889918
2,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971716391821056.jpg,yaw_neg_35,0,49,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/49.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889918,2.521819462876568e-17,-0.573576436351046,1.3877614946795348e-17,0.9999999999999999,-1.6949918590492965e-17,0.5735764363510459,-8.435639179051116e-18,0.8191520442889917
147,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971788896326912.jpg,yaw_neg_35,0,50,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/50.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889922,-1.4884135229235605e-16,-0.5735764363510465,-2.2480293612844293e-16,1.0000000000000002,6.193585319482267e-17,0.573576436351046,-5.805301036950447e-17,0.8191520442889919
89,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971759894524928.jpg,yaw_neg_35,0,52,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/52.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,-8.444351061719995e-17,-0.5735764363510459,-7.18896837589816e-19,1.0,1.4691935166901362e-16,0.5735764363510458,1.19781301658265e-16,0.8191520442889916
118,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971774395424000.jpg,yaw_neg_35,0,55,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/55.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,2.3399537395561255e-16,-0.5735764363510457,2.358804860441344e-16,1.0,-7.620570860848937e-17,0.573576436351046,-5.448762314396708e-18,0.8191520442889916
60,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971745393674240.jpg,yaw_neg_35,0,56,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/56.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889919,-1.4078887461380057e-16,-0.573576436351046,8.488424349640164e-17,0.9999999999999994,4.0871180839044495e-16,0.5735764363510457,4.0199978778502137e-16,0.8191520442889914
31,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971730892815104.jpg,yaw_neg_35,0,57,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/57.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.819152044288992,2.2075493403980342e-18,-0.5735764363510462,-1.2599596053125385e-17,1.0000000000000002,4.238803832365583e-17,0.5735764363510463,4.026979618270839e-17,0.8191520442889919
3,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971716891852032.jpg,yaw_neg_35,0,89,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/89.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,-6.012006125773723e-19,-0.573576436351046,5.449257773535361e-18,1.0,-3.179434062654892e-19,0.573576436351046,6.584433601895621e-18,0.8191520442889919
148,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971789396357888.jpg,yaw_neg_35,0,90,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/90.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,-2.2011637148788365e-17,-0.5735764363510462,2.934375218171668e-19,1.0,2.6046177162664835e-17,0.5735764363510462,-2.1816712377254854e-17,0.8191520442889918
32,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971731392765952.jpg,yaw_neg_35,0,103,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/103.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889916,9.956074214592183e-17,-0.5735764363510459,1.3521915829588358e-16,1.0,-1.6974386990070272e-17,0.573576436351046,6.914318939899089e-17,0.8191520442889919
90,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971760394555136.jpg,yaw_neg_35,0,102,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/102.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.819152044288992,1.1398108257001141e-16,-0.5735764363510466,-8.93472813155485e-17,1.0000000000000004,-3.771589960193348e-16,0.573576436351046,-3.805898859523091e-16,0.8191520442889925
119,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971774895488000.jpg,yaw_neg_35,0,105,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/105.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889916,-3.057741574444819e-17,-0.5735764363510458,-1.0601897298872228e-16,1.0,5.18709953605126e-17,0.5735764363510463,-5.826899775686617e-18,0.8191520442889918
61,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971745893655040.jpg,yaw_neg_35,0,109,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/109.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,-1.9689868616358536e-18,-0.5735764363510459,8.385728316641953e-18,0.9999999999999999,6.650905376858341e-17,0.573576436351046,6.615677709097655e-17,0.8191520442889918
149,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971789896388096.jpg,yaw_neg_35,0,133,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/133.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889922,-1.9921261241846298e-16,-0.5735764363510462,-1.8438833926479502e-16,1.0000000000000002,7.614586337419265e-17,0.5735764363510462,-2.577655826151339e-17,0.8191520442889919
4,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971717391916032.jpg,yaw_neg_35,0,142,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/142.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889919,7.770136806133177e-18,-0.573576436351046,1.9864694079851255e-18,1.0000000000000002,-5.466550828096532e-18,0.5735764363510463,-1.0942251331586984e-17,0.819152044288992
91,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971760894637056.jpg,yaw_neg_35,0,144,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/144.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889919,1.250156433471993e-16,-0.5735764363510462,4.618083205783767e-17,1.0,-2.8553402772788514e-16,0.573576436351046,-2.2274247611472075e-16,0.8191520442889919
33,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971731892795136.jpg,yaw_neg_35,0,138,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/138.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889914,1.567122337057124e-16,-0.573576436351046,2.5211295716086784e-16,0.9999999999999996,5.975234331170641e-17,0.5735764363510457,2.1254726280395212e-16,0.8191520442889919
120,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971775395489024.jpg,yaw_neg_35,0,154,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/154.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889914,4.464723743189379e-17,-0.5735764363510457,1.4270626632330134e-18,0.9999999999999997,-4.377743476097644e-17,0.5735764363510459,-7.264342161056538e-17,0.8191520442889915
62,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971746393715200.jpg,yaw_neg_35,0,165,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/165.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889919,-1.4511727770450112e-16,-0.5735764363510459,8.370382602105202e-17,0.9999999999999993,4.964847168299722e-16,0.5735764363510459,4.42925727187291e-16,0.8191520442889914
150,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971790396419072.jpg,yaw_neg_35,0,182,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/182.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889915,1.0047545322949504e-16,-0.5735764363510459,1.3757705543567826e-16,0.9999999999999997,-3.3120541707119575e-17,0.5735764363510458,-4.52731383029947e-17,0.8191520442889915
92,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971761394644992.jpg,yaw_neg_35,0,183,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/183.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,1.1007617190893157e-16,-0.573576436351046,5.557433849346119e-17,0.9999999999999999,-1.8456567770046383e-16,0.5735764363510459,-8.161750166486643e-17,0.8191520442889918
34,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971732392879872.jpg,yaw_neg_35,0,190,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/190.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889914,5.804190947359731e-17,-0.5735764363510458,1.2077367851123322e-16,0.9999999999999999,1.372424167357076e-17,0.5735764363510458,5.825894150175876e-17,0.8191520442889917
5,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971717891949056.jpg,yaw_neg_35,0,192,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/192.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,1.1331344920186311e-17,-0.5735764363510459,1.4529898046409817e-17,1.0,1.3036055561816246e-18,0.5735764363510462,1.0281353307417762e-17,0.8191520442889919
121,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971775895520000.jpg,yaw_neg_35,0,194,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/194.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,-8.756700463228355e-17,-0.5735764363510462,-2.7484087190516785e-18,0.9999999999999999,-9.798469075481444e-18,0.5735764363510459,8.94125155411154e-18,0.8191520442889918
151,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971790896451072.jpg,yaw_neg_35,0,223,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/223.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.819152044288992,-5.62012297733247e-17,-0.5735764363510462,-1.1158391929542355e-16,1.0000000000000004,5.360704949570426e-17,0.5735764363510462,-5.73594010546074e-17,0.8191520442889919
63,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971746893758976.jpg,yaw_neg_35,0,217,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/217.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889919,1.1545381273584065e-16,-0.5735764363510462,-4.1276288364737083e-17,1.0000000000000002,-1.94172924837439e-16,0.573576436351046,-1.943097319691997e-16,0.8191520442889918
93,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971761894649088.jpg,yaw_neg_35,0,229,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/229.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,-2.2243442909725774e-16,-0.5735764363510457,-7.770694889950908e-17,0.9999999999999998,3.015999190132315e-16,0.5735764363510462,2.391031223523339e-16,0.8191520442889915
6,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971718391991040.jpg,yaw_neg_35,0,245,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/245.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.819152044288992,-1.6673515557821453e-17,-0.573576436351046,-9.640243529168627e-18,0.9999999999999999,2.326313227870209e-18,0.5735764363510462,-8.609327254787784e-18,0.8191520442889919
35,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971732892856064.jpg,yaw_neg_35,0,247,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/247.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889919,-6.710284747483943e-17,-0.5735764363510459,-2.7000997478148073e-17,1.0,6.74369222495702e-17,0.573576436351046,4.38086787884711e-17,0.8191520442889918
122,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971776395580160.jpg,yaw_neg_35,0,248,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/248.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889918,-2.984321681332283e-17,-0.5735764363510462,6.17483031400406e-17,1.0,-2.3506100488038338e-18,0.573576436351046,4.209820295399549e-17,0.8191520442889918
64,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971747393777152.jpg,yaw_neg_35,0,262,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/262.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,-9.256090844385738e-17,-0.5735764363510459,-4.3060623861903114e-17,0.9999999999999997,1.1334482668762542e-16,0.5735764363510459,8.123437812465846e-17,0.8191520442889916
152,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971791396482048.jpg,yaw_neg_35,0,272,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/272.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889916,2.752924703535967e-16,-0.5735764363510459,2.522316272633815e-16,0.9999999999999996,-7.634063331441672e-17,0.5735764363510459,9.779342761539914e-17,0.8191520442889916
7,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971718892033024.jpg,yaw_neg_35,0,282,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/282.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.819152044288992,2.998739930085665e-18,-0.573576436351046,4.4268539237492365e-18,1.0000000000000002,5.286344866776621e-18,0.5735764363510462,9.916065258864445e-19,0.819152044288992
94,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971762394705920.jpg,yaw_neg_35,0,283,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/283.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889919,1.7646020744415646e-16,-0.5735764363510465,6.320371702750912e-17,1.0,-1.7481449200965338e-16,0.5735764363510462,-1.7089604313293522e-16,0.8191520442889924
123,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971776895583232.jpg,yaw_neg_35,0,286,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/286.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889922,-7.338905777993035e-17,-0.5735764363510464,-6.019398363831399e-17,1.0000000000000004,4.031351585228073e-17,0.5735764363510464,-9.085451497500092e-18,0.8191520442889922
36,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971733392938240.jpg,yaw_neg_35,0,290,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/290.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889912,1.2452907901006658e-16,-0.5735764363510458,2.1916608961846967e-16,0.9999999999999994,4.2174968479306616e-17,0.5735764363510458,1.7857586433800113e-16,0.8191520442889917
65,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971747893807104.jpg,yaw_neg_35,0,305,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/305.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889918,-4.8316797678952085e-18,-0.5735764363510459,2.0475899471178354e-16,0.9999999999999999,3.3927907735546365e-16,0.5735764363510462,4.1189902371225934e-16,0.8191520442889918
153,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971791896552192.jpg,yaw_neg_35,0,318,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/318.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,1.6488356348001798e-16,-0.5735764363510458,1.2022086275448406e-16,0.9999999999999999,-1.8259053516821596e-16,0.573576436351046,-2.0676101402696767e-17,0.8191520442889916
95,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971762894792960.jpg,yaw_neg_35,0,329,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/329.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889918,-4.5621697972855335e-17,-0.573576436351046,-6.488314362063707e-17,1.0,3.677920907048162e-17,0.5735764363510463,3.114127148688278e-17,0.8191520442889919
8,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971719392058112.jpg,yaw_neg_35,0,332,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/332.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,6.576781679785858e-17,-0.5735764363510459,4.713925839915243e-17,0.9999999999999999,-4.071140934293456e-17,0.573576436351046,1.0716210202905104e-18,0.819152044288992
37,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971733892919040.jpg,yaw_neg_35,0,336,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/336.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889922,-2.214224246428103e-16,-0.5735764363510462,-3.0881237363580647e-16,1.0000000000000004,-7.402298291877944e-17,0.5735764363510464,-2.4279343172005216e-16,0.819152044288992
124,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971777395611904.jpg,yaw_neg_35,0,338,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/338.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.819152044288992,-7.763573856432275e-17,-0.5735764363510463,-7.940896985411934e-17,1.0,2.196380609744778e-17,0.5735764363510462,-1.8411040271357623e-17,0.819152044288992
66,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971748393859072.jpg,yaw_neg_35,0,351,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/351.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889916,2.366465947629859e-19,-0.573576436351046,-4.4177803686287586e-17,1.0,-1.2552421529376721e-16,0.5735764363510459,-1.162228370400462e-16,0.8191520442889919
154,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971792396542976.jpg,yaw_neg_35,0,374,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/374.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889918,-1.0949007582161721e-16,-0.573576436351046,-2.009243428314926e-16,1.0,-2.310033250328686e-17,0.5735764363510459,-9.713678930096196e-17,0.8191520442889918
96,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971763394740224.jpg,yaw_neg_35,0,375,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/375.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889918,-3.616536818753409e-17,-0.5735764363510458,-1.8444708081979865e-19,0.9999999999999999,6.029655500826684e-17,0.5735764363510462,5.960739228577768e-17,0.8191520442889917
38,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971734392966144.jpg,yaw_neg_35,0,379,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/379.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889917,-7.488043645650324e-17,-0.5735764363510459,-9.309248113504837e-17,1.0,4.036944390864298e-17,0.573576436351046,-1.665106152434171e-17,0.8191520442889918
9,1,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971719892099072.jpg,yaw_neg_35,0,380,D:\mipmap-lite\1fad9647-f717-4cd4-9391-11f219d7e5d1\snow\snow-20260827\result/.temp/undistort/380.jpg,0.0,1456,2912,1039.691749,728.0,1456.0,0.8191520442889921,-6.432342149099082e-17,-0.5735764363510463,-6.652076388279315e-17,1.0,2.0365417895294056e-17,0.5735764363510463,-1.3578282199697381e-17,0.819152044288992
